date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2010-01-01 00:00:00,-8,-16,0.0,2.8,1,1,100,04:59 PM,09:32 AM,08:59 AM,04:07 PM,-9,-9,-9,-9,5,100,99,0.0,1004,-10,0,242,3
2010-01-01 12:00:00,-8,-16,0.0,2.8,1,1,100,04:59 PM,09:32 AM,08:59 AM,04:07 PM,-9,-13,-9,-13,12,100,97,0.0,1006,-9,2,331,8
2010-01-02 00:00:00,-10,-13,0.1,2.8,1,1,85,06:37 PM,09:58 AM,08:59 AM,04:08 PM,-13,-17,-13,-17,15,100,100,0.0,1008,-13,0,19,8
2010-01-02 12:00:00,-10,-13,0.1,2.8,1,1,85,06:37 PM,09:58 AM,08:59 AM,04:08 PM,-10,-15,-10,-15,15,100,97,0.0,1006,-10,0,22,10
2010-01-03 00:00:00,-15,-21,0.0,2.8,1,1,77,08:14 PM,10:16 AM,08:59 AM,04:09 PM,-16,-24,-15,-24,25,100,96,0.0,1006,-15,10,356,17
2010-01-03 12:00:00,-15,-21,0.0,2.8,1,1,77,08:14 PM,10:16 AM,08:59 AM,04:09 PM,-18,-26,-18,-26,16,100,99,0.0,1008,-18,0,335,12
2010-01-04 00:00:00,-13,-23,0.0,2.8,1,1,70,09:48 PM,10:30 AM,08:58 AM,04:11 PM,-22,-29,-22,-29,16,100,98,0.0,1013,-23,0,309,9
2010-01-04 12:00:00,-13,-23,0.0,2.8,1,1,70,09:48 PM,10:30 AM,08:58 AM,04:11 PM,-17,-23,-16,-23,18,89,99,0.0,1014,-17,0,218,10
2010-01-05 00:00:00,-11,-16,0.2,2.8,1,1,63,11:17 PM,10:41 AM,08:58 AM,04:12 PM,-13,-19,-12,-19,19,100,97,0.0,1018,-13,10,227,13
2010-01-05 12:00:00,-11,-16,0.2,2.8,1,1,63,11:17 PM,10:41 AM,08:58 AM,04:12 PM,-13,-18,-13,-18,13,76,98,0.0,1023,-14,0,196,8
2010-01-06 00:00:00,-13,-16,0.0,2.8,1,1,56,No moonrise,10:53 AM,08:57 AM,04:14 PM,-16,-23,-16,-23,18,100,99,0.0,1026,-16,0,191,11
2010-01-06 12:00:00,-13,-16,0.0,2.8,1,1,56,No moonrise,10:53 AM,08:57 AM,04:14 PM,-13,-17,-13,-17,11,83,99,0.0,1029,-13,0,168,7
2010-01-07 00:00:00,-9,-15,0.7,2.8,1,1,48,12:44 AM,11:04 AM,08:57 AM,04:15 PM,-15,-23,-15,-23,23,100,98,0.0,1028,-15,10,136,15
2010-01-07 12:00:00,-9,-15,0.7,2.8,1,1,48,12:44 AM,11:04 AM,08:57 AM,04:15 PM,-11,-19,-11,-19,34,100,97,0.0,1021,-11,10,150,22
2010-01-08 00:00:00,-5,-8,1.2,2.9,1,1,41,02:09 AM,11:18 AM,08:56 AM,04:17 PM,-9,-15,-8,-15,22,99,97,0.0,1021,-8,10,159,14
2010-01-08 12:00:00,-5,-8,1.2,2.9,1,1,41,02:09 AM,11:18 AM,08:56 AM,04:17 PM,-7,-11,-6,-11,14,100,98,0.0,1019,-7,0,180,9
2010-01-09 00:00:00,-7,-17,0.1,2.9,1,1,34,03:34 AM,11:35 AM,08:55 AM,04:18 PM,-7,-12,-7,-12,17,100,97,0.0,1028,-7,0,248,11
2010-01-09 12:00:00,-7,-17,0.1,2.9,1,1,34,03:34 AM,11:35 AM,08:55 AM,04:18 PM,-11,-13,-11,-13,9,61,99,0.0,1033,-11,0,316,4
2010-01-10 00:00:00,-15,-22,0.0,7.7,1,1,27,04:54 AM,11:59 AM,08:54 AM,04:20 PM,-20,-23,-20,-23,7,7,99,0.0,1037,-22,0,350,3
2010-01-10 12:00:00,-15,-22,0.0,7.7,1,1,27,04:54 AM,11:59 AM,08:54 AM,04:20 PM,-13,-17,-13,-17,9,0,95,0.0,1036,-16,2,52,7
2010-01-11 00:00:00,-11,-23,0.0,7.7,2,1,19,06:08 AM,12:32 PM,08:54 AM,04:21 PM,-20,-20,-20,-20,2,4,95,0.0,1034,-23,10,133,1
2010-01-11 12:00:00,-11,-23,0.0,7.7,2,2,19,06:08 AM,12:32 PM,08:54 AM,04:21 PM,-15,-16,-14,-16,7,9,91,0.0,1030,-15,10,299,3
2010-01-12 00:00:00,-10,-17,0.0,7.7,2,1,12,07:10 AM,01:18 PM,08:53 AM,04:23 PM,-17,-21,-15,-21,17,8,88,0.0,1029,-17,10,287,8
2010-01-12 12:00:00,-10,-17,0.0,7.7,2,1,12,07:10 AM,01:18 PM,08:53 AM,04:23 PM,-10,-13,-9,-13,13,6,95,0.0,1025,-11,2,265,8
2010-01-13 00:00:00,-8,-16,0.0,2.9,2,1,5,07:57 AM,02:17 PM,08:52 AM,04:25 PM,-16,-20,-15,-20,15,17,93,0.0,1021,-16,10,277,7
2010-01-13 12:00:00,-8,-16,0.0,2.9,2,1,5,07:57 AM,02:17 PM,08:52 AM,04:25 PM,-8,-11,-7,-11,10,100,98,0.0,1020,-8,0,8,7
2010-01-14 00:00:00,-8,-15,0.1,2.9,1,1,0,08:31 AM,03:27 PM,08:51 AM,04:27 PM,-15,-20,-14,-20,17,48,99,0.0,1024,-15,0,284,8
2010-01-14 12:00:00,-8,-15,0.1,2.9,1,1,0,08:31 AM,03:27 PM,08:51 AM,04:27 PM,-8,-7,-7,-7,2,100,98,0.0,1026,-8,0,31,2
2010-01-15 00:00:00,-11,-19,0.0,6.8,1,1,0,08:54 AM,04:41 PM,08:50 AM,04:28 PM,-13,-13,-13,-13,2,100,98,0.0,1028,-14,0,301,1
2010-01-15 12:00:00,-11,-19,0.0,6.8,1,1,0,08:54 AM,04:41 PM,08:50 AM,04:28 PM,-13,-16,-13,-16,10,37,99,0.0,1031,-14,0,157,5
